target_variable,T2M_toc,QV2M_toc,TQL_toc,W2M_toc
970.345,25.86525879,0.018576382,0.016174316,21.85054582
912.1755,25.89925537,0.018653292,0.016418457,22.16694428
900.2688,25.93728027,0.01876786,0.015480042,22.45491088
889.9538,25.95754395,0.018890057,0.016273499,22.11048087
893.6865,25.97384033,0.018981151,0.017280579,21.18608852
879.2323,26.03414307,0.019079996,0.014541626,20.06203782
932.4876,26.6914917,0.019331587,0.006645203,21.62349567
1048.972,27.67406616,0.019369703,0.00686264,23.775317
1167.9074,28.76040039,0.019171301,0.010231018,24.6361515
1257.5069,29.76665649,0.018759238,0.009017944,25.86267136
1254.583,30.52376709,0.018408278,0.004322052,26.82808151
1216.9004,30.98180542,0.018133579,0.00279808,26.65431045
1202.1556,31.21120605,0.017904576,0.0026474,25.75416055
1197.2616,31.15651855,0.017744431,0.001464844,24.90217224
1169.0034,30.81676636,0.01765308,0.000401378,24.21445514
1136.7054,30.05721436,0.017706675,2.70E-05,23.76680031
1101.9447,28.80245361,0.018042427,8.37E-13,22.75511413
1107.0406,27.36635742,0.018568844,8.37E-13,20.67880942
1142.1548,26.61394653,0.018851262,0.000406981,19.92638635
1097.2334,26.26726685,0.018889746,0.00142622,19.42842398
1074.6544,26.08352051,0.018859386,0.002457619,19.5695168
1041.3244,25.95629272,0.018775864,0.002873421,19.65992258
999.634,25.8612915,0.01866179,0.003154755,19.70297711
968.0526,25.76918945,0.01855488,0.003251076,19.70035169
944.0556,25.68181763,0.01849374,0.003897667,19.89334975
928.7193,25.60231934,0.01848609,0.00462532,19.86387112
909.5566,25.57265625,0.018447837,0.008533478,20.36202291
894.6543,25.54714355,0.018409494,0.008693695,20.65157366
884.6659,25.52785645,0.018401654,0.008224487,20.48153763
862.9888,25.54476318,0.018416742,0.00642395,20.43622985
871.6873,26.30422363,0.018576866,0.00390625,23.66059609
912.4966,27.40322266,0.018454764,0.003067017,27.22222241
969.8017,28.46138916,0.018355511,0.003726959,28.11991858
1019.3105,29.38103638,0.018141903,0.004034042,28.52748225
1059.7497,30.1062561,0.017905423,0.002173424,28.25395806
1069.7854,30.59508667,0.01760021,0.000941753,27.47972444
1087.2858,30.79110107,0.017340636,0.000582457,26.45025602
1087.1689,30.69204102,0.01714219,0.000358105,25.63466756
1075.3804,30.26275024,0.017020134,4.54E-05,25.31850515
1056.4102,29.4192749,0.016982077,1.21E-06,25.56764766
1033.7229,28.11812744,0.017188106,2.32E-11,25.10650949
1101.5439,26.83339844,0.017615346,0.000592947,22.93944962
1137.1754,26.26513062,0.017882211,0.004062653,21.90201871
1133.2082,26.04036865,0.017935479,0.003162384,21.86214748
1102.3695,25.8701416,0.018011456,0.001964569,21.63856535
1072.5808,25.75136719,0.018095177,0.005702972,21.83913041
1012.596,25.71669922,0.018232353,0.012939453,21.83853504
958.6209,25.70070801,0.018346615,0.018684387,21.22802614
928.5338,25.68990479,0.018422669,0.018112183,20.81284325
901.5402,25.69042358,0.018391995,0.019012451,21.4350917
887.7822,25.70449219,0.018292766,0.021980286,22.28194361
